confirmed,deaths,city_ibge_code
183,7,1600808
4,0,2900108
0,0,2900207
3,0,2900306
3,1,2900355
5,1,2900405
5,1,2900603
99,3,2900702
2,0,2900801
3,0,2900900
11,1,2901007
29,0,2901106
0,0,2901155
2,1,2901205
2,0,2901304
21,0,2901502
4,0,2901601
4,0,2901700
11,1,2901908
1,0,2901957
2,0,2902054
5,0,2902005
14,1,2902104
1,0,2902203
2,0,2902252
2,0,2902302
16,0,2902401
1,0,2902500
2,0,2902658
4,0,2902708
8,0,2902906
1,0,2903003
7,0,2903102
71,0,2903201
15,0,2903276
6,0,2903300
11,1,2903409
0,0,2903607
3,0,2903805
18,0,2903904
0,0,2903953
1,0,2904050
9,0,2904100
41,0,2904605
41,5,2904704
4,0,2904753
2,0,2904852
9,0,2904902
0,0,2905008
3,0,2905107
2,0,2905156
8,0,2905206
23,1,2905404
5,0,2905503
76,0,2905602
286,6,2905701
9,0,2905800
19,0,2905909
2,0,2906006
7,0,2906204
27,1,2906303
1,0,2906402
245,5,2906501
3,0,2906600
13,0,2906709
10,0,2906808
12,0,2906824
2,0,2906857
28,3,2906873
3,0,2906899
1,0,2906907
6,0,2907004
24,0,2907202
25,1,2907301
37,1,2907509
0,0,2907608
2,0,2907806
1,0,2907905
39,2,2908002
8,0,2908101
17,0,2908200
4,0,2908309
21,0,2908408
13,0,2908507
7,1,2908606
9,0,2908705
10,0,2908903
15,0,2909208
1,0,2909307
2,0,2909505
2,0,2909604
4,0,2909703
25,0,2909802
33,0,2909901
10,0,2910008
94,4,2910057
3,0,2910107
10,0,2910404
16,0,2910503
2,0,2910602
8,0,2910701
167,2,2910727
2,0,2910750
622,6,2910800
2,1,2910859
1,0,2910909
6,0,2911006
1,0,2911105
55,1,2911204
3,0,2911402
13,2,2911501
4,1,2911600
27,0,2911709
2,0,2911808
18,3,2911907
20,0,2912103
1,0,2912301
5,0,2912400
0,0,2912509
16,1,2912707
18,1,2912806
22,1,2912905
1,1,2913002
1,0,2913200
4,0,2913457
4,0,2913507
664,33,2913606
582,4,
3,0,2913705
3,0,2913804
245,7,2913903
16,1,2914000
2,0,2914505
17,0,2914604
15,0,2914653
40,1,2914703
1045,33,2914802
31,2,2914901
29,0,2915007
5,0,2915106
22,1,2915205
0,0,2915353
95,1,2915502
160,2,2915601
0,0,2915700
6,1,2915908
4,0,2916005
31,1,2916104
7,2,2916203
9,0,2916302
15,2,2916401
21,0,2916500
6,0,2916609
0,0,2916708
2,1,2916807
14,1,2916856
3,1,2917003
5,0,2917102
1,0,2917201
6,0,2917300
1,0,2917359
1,0,2917409
41,1,2917508
38,0,2917607
22,0,2917706
7,0,2917805
2,1,2917904
454,14,2918001
1,0,2918209
10,1,2918308
21,0,2918357
62,6,2918407
0,0,2918506
4,0,2918555
1,0,2918605
5,0,2918704
6,0,2918803
1,0,2918902
7,0,2919058
5,0,2919108
4,0,2919157
576,8,2919207
6,0,2919405
7,0,2919504
41,0,2919553
2,1,2919702
1,0,2919801
35,1,2919926
1,0,2919959
7,0,2920007
2,0,2920106
1,0,2920304
11,1,2920403
6,0,2920452
3,0,2920502
29,1,2920601
7,2,2920700
4,0,2920809
3,0,2920908
45,0,2921005
1,0,2921054
2,0,2921104
2,1,2921203
12,0,2921302
2,0,2921401
2,1,2921450
5,1,2921500
6,0,2921609
2,0,2921708
4,0,2921906
41,1,2922003
3,1,2922052
1,1,2922102
1,0,2922201
10,1,2922300
16,0,2922409
4,0,2922508
3,1,2922607
8,0,2922656
3,0,2922730
1,0,2922755
15,0,2922904
58,0,2923001
2,0,2923050
2,0,2923100
14,0,2923209
2,0,2923308
1,0,2923357
14,0,2923407
1,0,2923506
5,1,2923605
2,0,2923704
2,0,2923803
16,2,2923902
41,0,2924009
0,0,2924058
0,0,2924108
1,0,2924207
1,0,2924306
40,0,2924405
3,0,2924504
3,0,2924603
2,0,2924652
3,0,2924678
12,0,2924702
2,0,2924801
0,0,2925105
41,0,2925204
4,1,2925253
142,1,2925303
12,0,2925402
15,0,2925501
3,0,2925600
0,0,2925709
2,0,2925758
21,0,2925808
6,0,2925931
8,0,2925956
28,1,2926004
15,0,2926103
2,0,2926202
12,1,2926301
10,0,2926400
2,0,2926509
27,1,2926608
1,0,2926657
2,0,2926806
3,0,2926905
16,0,2927002
6,0,2927101
4,0,2927200
2,0,2927309
13745,535,2927408
22,0,2927507
1,0,2927606
37,0,2927705
5,1,2927804
2,0,2927903
12,0,2928000
6,0,2928059
2,0,2928109
5,0,2928307
2,0,2928406
9,0,2928505
27,1,2928604
53,0,2928703
3,0,2928802
20,0,2928901
4,0,2928950
2,0,2929107
2,0,2929008
61,2,2929206
12,0,2929305
9,1,2929354
1,0,2929370
80,1,2929503
3,0,2929602
6,0,2929701
15,2,2929750
0,0,2929800
15,1,2929909
47,1,2930105
1,0,2930204
3,0,2930154
